Chapter_ID	Work_ID	Chapter_Title	Chapter_Number	Page_Range
capitolo_I	quer_pasticciaccio_adelphi	Capitolo I	1	11-54
capitolo_II	quer_pasticciaccio_adelphi	Capitolo II	2	55-75
capitolo_III	quer_pasticciaccio_adelphi	Capitolo III	3	76-91
capitolo_IV	quer_pasticciaccio_adelphi	Capitolo IV	4	92-131
capitolo_V	quer_pasticciaccio_adelphi	Capitolo V	5	132-151
capitolo_VI	quer_pasticciaccio_adelphi	Capitolo VI	6	152-175
capitolo_VII	quer_pasticciaccio_adelphi	Capitolo VII	7	176-205
capitolo_VIII	quer_pasticciaccio_adelphi	Capitolo VIII	8	206-237
capitolo_IX	quer_pasticciaccio_adelphi	Capitolo IX	9	238-277
capitolo_X	quer_pasticciaccio_adelphi	Capitolo X	10	278-307
