Focalizer_ID	Focalizer_Type	Character_Name	Narrator_Type	Gender	Description
agente_paolillo	character	Agente Paolillo		male	
agente_runzato	character	Agente Runzato		male	Agente della tenenza di Marino che accompagna Ingravallo a casa di Assunta Crocchiapani
alda_pernetti	character	Alda Pernetti		female	
americana_inglese	character	Americana / Inglese		female	Personaggio non qualificato, emblematico di una categoria sociale-culturale (turista anglosassone in Italia)
ascanio_lanciani	character	Ascanio Lanciani		male	Ascanio Lanciani, fratello minore di Diomede Lanciani, coinvolto nel furto della contessa Menegazzi
assunta	character	Assunta Crocchiapani		female	"Assunta Crocchiapani, detta anche Tina, una delle ""nipoti"" assunte dai Balducci, originaria di Pozzofondo"
autista_questura	character	Autista della Questura di Santo Stefano		male	Personaggio non nominato, che accompagna Ingravallo da Santo Stefano ai Colli Albani
barbezzi_gallo	character	Barbezzi Gallo		male	
bigliettaio_merlani	character	Bigliettaio Merlani		male	
bottafavi	character	Bottafavi		male	
brigatiere_juppariello	character	Brigatiere Juppariello		male	
camilla_mattonari	character	Camilla Mattonari		female	Camilla Mattonari, una delle cugine legate ad Enea Retalli, coinvolta nel furto di gioielli della Menegazzi
cammarota	character	Cammarota		male	
cassiere_capo_del_bo	character	Cassiere Capo Del Bo		male	
ceccherelli	character	Ceccherelli		male	
cencia	character	Cencia		male	
character_un1	character	Character Un1		male	
clelia_farcioni	character	Clelia Farcioni		female	"Clelia Farcioni, originaria di Pozzofondo, una delle donne impiegate al ""laboratorio"" della Zamira Pacori"
cocullo	character	Cocullo		male	Agente Cocullo, accompagna il brigadiere Pestalozzi in moto dalla tenenza dei carabinieri di Marino alla casa di Camilla Mattonari
commendador_angeloni	character	Commendador Angeloni		male	Commendator Angeloni, vicino di casa dei Balducci, interrogato all'inizio dell'indagine.
contadina	character	Contadina		female	
contessa_mondeguggoli	character	Contessa Mondeguggoli		female	
contessa_veneziana	character	Contessa Veneziana		female	Personaggio non qualificato
corteo_funebre	character	Corteo Funebre		male/female	Folla indistinta presente al funerale di Liliana Balducci
diomede	character	Diomede Lanciani		male	Diomede Lanciani è il fidanzato o amante (“paìno”) di Ines Cionini, fratello maggiore di Ascanio
don_lorenzo_corpi	character	Don Lorenzo Corpi		male	Don Lorenzo Corpi, sacerdote legato alla cerchia di Liliana.
dottor_fumi	character	Dottor Fumi		male	Dottor Fumi, capo della squadra investigativa di Santo Stefano del Cacco
dottor_ghianda	character	Dottor Ghianda		male	
due_militi	character	Due Militi		male	Due agenti non qualificati nel romanzo
elodia	character	Elodia		female	
enea_cucco	character	Enea Cucco		male	
enea_retalli	character	Enea Retalli		male	Giovane sospettato, legato all'ambiente dei Castelli Romani.
fratello_pernetti	character	Fratello Pernetti		male	
garzone_serpenti	character	Garzone Serpenti		male	
gaudenzio	character	Gaudenzio		male	Gaudenzio, detto Biondone, collega di Ingravallo coinvolto nelle indagini dell'omicidio di Liliana Balducci
giuliano_valdarena	character	Giuliano Valdarena		male	Giuliano Valdarena, cugino di Liliana, tra i sospettati.
giulietta_frisoni	character	Giulietta Frisoni		female	
ines_cionini	character	Ines Cionini		female	
ingravallo	character	Ingravallo		male	Commissario molisano, detto don Ciccio; protagonista-investigatore e principale centro di focalizzazione del romanzo.
irene_spinaci	character	Irene Spinaci		female	
lavinia_mattonari	character	Lavinia Mattonari		female	Lavinia Mattonari, cugina di Camilla Mattonari e compagna di Enea Retalli, lavora al laboratorio della Zamira Pacori
liliana	character	Liliana Balducci		female	Liliana Balducci, vittima dell'omicidio di via Merulana; figura centrale attorno a cui ruota la doppia indagine del romanzo
luigia_zanchetti	character	Luigia Zanchetti		female	
maddalena_felicetti	character	Maddalena Felicetti		female	
maharaja_di_tripura	character	Maharaja Di Tripura		male	Il maharaja di Tripura, figura della digressione sull'anacronistica visita ufficiale.
maresciallo_di_pietrantonio	character	Maresciallo Di Pietrantonio		male	
menegazzi	character	Menegazzi		female	
militi_castello	character	Militi Castello		male	Agenti della tenenza di Castello, non identificati nel romanzo
monache	character	Monache		female	
monello	character	Monello		male	
mussolini	character	Mussolini		male	Riferimento storico-narrativo (il Duce), presente nel tessuto ironico e anacronistico del romanzo.
narrator	narrator		onnisciente-eterodiegetico		Voce narrante gaddiana: onnisciente ma pervasa di digressioni, ironia e plurilinguismo; focalizzatore a pieno titolo.
nerovestite	character	Nerovestite		female	
nipote_un1	character	Nipote Un1		male	Personaggio non identificato nel romanzo
nipotine_zamira	character	Nipotine Zamira		female	
nonna_lanciani	character	Nonna Lanciani		female	Zia della madre di Ascanio Lanciani
nonna_mattonari	character	Nonna Mattonari		female	Nonna presente sulla scena durante la visita e perquisizione di Pestalozzi e Cocullo in casa di Camilla Mattonari
notaio_gaetano_de_marini	character	Notaio Gaetano De Marini		male	
orestino_bozzi	character	Orestino Bozzi		male	
padre_domenico	character	Padre Domenico		male	
paolillo	character	Paolillo		male	
pestalozzi	character	Pestalozzi		male	Brigadiere Pestalozzi, conduce le indagini nell'area dei Castelli, dalla tenenza dei carabinieri di Marino
pizzicarolo_moglie	character	Pizzicarolo Moglie		female	
pollarola	character	Pollarola		female	
pompeo	character	Pompeo		male	Pompeo, detto lo Sgranfia, agente/informatore nell'orbita dell'indagine.
porchettini	character	Porchettini		male	
portinaia	character	Portinaia		female	
remo_balducci	character	Remo Balducci		male	Marito di Liliana, commerciante spesso in viaggio.
rosa_taddei	character	Rosa Taddei		female	
santarella	character	Santarella		male	Maresciallo Santarella, conduce le indagini nell'area dei Castelli, dalla tenenza dei carabinieri di Marino
scarpara	character	Scarpara		female	
signor_valdarena	character	Signor Valdarena		male	
sor_manuela	character	Sor Manuela		female	
sora_elodia	character	Sora Elodia		female	
veronica_magliarini	character	Veronica Magliarini		female	Domestica presente sulla scena durante la visita finale di Ingravallo in casa di Assunta Crocchiapani
vetturale	character	Vetturale		male	
virginia_troddu	character	Virginia Troddu		female	Virginia Troddu: ex pupilla e “nipote” adottiva informale di Liliana Balducci, originaria della Pavona; già convivente presso i Balducci in una condizione forse assimilabile al mezzo servizio, beneficiaria della loro protezione e di una dote, seduttrice di entrambi i coniugi e assassina implicita di Liliana.
zamira_pacori	character	Zamira Pacori		female	Zamira Pàcori, tenutaria di un laboratorio-osteria a Marino, figura ambigua legata al sottobosco criminale dei Colli Albani
zia_elvira	character	Zia Elvira		female	
zia_marietta	character	Zia Marietta		female	
zie_valdarena	character	Zie Valdarena		female	
zio_cantoniere	character	Zio Cantoniere		male	Zio di Camilla Mattonari
zio_peppe	character	Zio Peppe		male	
