GazetteerEntity_ID	Toponym	sameAs	Alternative_Toponym	Historical_Location	Present_Location	Latitude	Longitude	Geometry	Authority_Source
gaz_acqua_pia_antica_marcia	Acqua Pia Antica Marcia		Acquedotto Marciano			41.84673072992396	12.563362579004666	"{
  ""type"": ""FeatureCollection"",
  ""features"": [
    {
      ""type"": ""Feature"",
      ""properties"": {},
      ""geometry"": {
        ""coordinates"": [
          12.563362579004666,
          41.846730729923955
        ],
        ""type"": ""Point""
      }
    }
  ]
}"	
gaz_acquedotto_claudio	Acquedotto Claudio					41.85213084027308	12.55520496824135	"{
  ""type"": ""FeatureCollection"",
  ""features"": [
    {
      ""type"": ""Feature"",
      ""properties"": {},
      ""geometry"": {
        ""type"": ""Point"",
        ""coordinates"": [
          12.55520496824135,
          41.85213084027308
        ]
      }
    }
  ]
}"	
gaz_albano_laziale	Albano Laziale					41.72979996535707	12.65920047759274	"{
  ""type"": ""FeatureCollection"",
  ""features"": [
    {
      ""type"": ""Feature"",
      ""properties"": {},
      ""geometry"": {
        ""coordinates"": [
          12.659200477592739,
          41.72979996535707
        ],
        ""type"": ""Point""
      }
    }
  ]
}"	
gaz_aliciaro	Aliciaro			Piazza degli Otto Cantoni	Piazza Augusto Imperatore	41.90594993508033	12.477286809814071	"{
  ""type"": ""FeatureCollection"",
  ""features"": [
    {
      ""type"": ""Feature"",
      ""properties"": {},
      ""geometry"": {
        ""coordinates"": [
          12.477286809814073,
          41.90594993508033
        ],
        ""type"": ""Point""
      }
    }
  ]
}"	
gaz_aniene	Aniene					41.94603890927569	12.50154664546876	"{
  ""type"": ""FeatureCollection"",
  ""features"": [
    {
      ""type"": ""Feature"",
      ""properties"": {},
      ""geometry"": {
        ""coordinates"": [
          12.501546645468759,
          41.94603890927569
        ],
        ""type"": ""Point""
      }
    }
  ]
}"	
gaz_anzio	Anzio					41.44778427232902	12.627465687905143	"{
  ""type"": ""FeatureCollection"",
  ""features"": [
    {
      ""type"": ""Feature"",
      ""properties"": {},
      ""geometry"": {
        ""type"": ""Point"",
        ""coordinates"": [
          12.627465687905145,
          41.44778427232902
        ]
      }
    }
  ]
}"	
gaz_ardea	Ardea					41.66592876861046	12.544506836046144	"{
  ""type"": ""FeatureCollection"",
  ""features"": [
    {
      ""type"": ""Feature"",
      ""properties"": {},
      ""geometry"": {
        ""type"": ""Point"",
        ""coordinates"": [
          12.544506836046144,
          41.66592876861046
        ]
      }
    }
  ]
}"	
gaz_ariccia	Ariccia					41.72150161333168	12.672990584468002	"{
  ""type"": ""FeatureCollection"",
  ""features"": [
    {
      ""type"": ""Feature"",
      ""properties"": {},
      ""geometry"": {
        ""type"": ""Point"",
        ""coordinates"": [
          12.672990584468002,
          41.72150161333168

        ]
      }
    }
  ]
}"	
gaz_aventino	Aventino					41.88336622181254	12.477783109311511	"{
  ""type"": ""FeatureCollection"",
  ""features"": [
    {
      ""type"": ""Feature"",
      ""properties"": {},
      ""geometry"": {
        ""coordinates"": [
          12.477783109311511,
          41.88336622181254
        ],
        ""type"": ""Point""
      }
    }
  ]
}"	
gaz_banca_commerciale_italiana	Banca Commerciale Italiana		Comit	Palazzo Doria Pamphilj in Via del Plebiscito 112 (fino al 1922)	Via del Corso 226	41.900490491252384	12.48081919655661	"{
  ""type"": ""FeatureCollection"",
  ""features"": [
    {
      ""type"": ""Feature"",
      ""properties"": {},
      ""geometry"": {
        ""coordinates"": [
          12.48081919655661,
          41.900490491252384
        ],
        ""type"": ""Point""
      }
    }
  ]
}"	
gaz_banca_ditalia	Banca d’Italia			via Nazionale, 91 (Palazzo Koch)		41.89761872488606	12.488825693999916	"{
  ""type"": ""FeatureCollection"",
  ""features"": [
    {
      ""type"": ""Feature"",
      ""properties"": {},
      ""geometry"": {
        ""coordinates"": [
          12.488825693999917,
          41.89761872488606
        ],
        ""type"": ""Point""
      }
    }
  ]
}"	
gaz_banco_di_santo_spirito	Banco di Santo Spirito		Istituto di Credito Fondiario del Banco di Santo Spirito	"Arcispedale di Santo Spirito in Saxia - Palazzo del Banco di Santo Spirito, già ""della Zecca Vecchia"""		41.89984502388519	12.466807906113214	"{
  ""type"": ""FeatureCollection"",
  ""features"": [
    {
      ""type"": ""Feature"",
      ""properties"": {},
      ""geometry"": {
        ""coordinates"": [
          12.466807906113214,
          41.899845023885185
        ],
        ""type"": ""Point""
      }
    }
  ]
}"	
gaz_basilica_dei_frari	Basilica di Santa Maria Gloriosa dei Frari					45.43700425060388	12.326607913064835	"{
  ""type"": ""FeatureCollection"",
  ""features"": [
    {
      ""type"": ""Feature"",
      ""properties"": {},
      ""geometry"": {
        ""type"": ""Point"",
        ""coordinates"": [
          12.326607913064837,
          45.43700425060388
        ]
      }
    }
  ]
}"	
gaz_benevento	Benevento					41.13316810450852	14.783846798251036	"{
  ""type"": ""FeatureCollection"",
  ""features"": [
    {
      ""type"": ""Feature"",
      ""properties"": {},
      ""geometry"": {
        ""type"": ""Point"",
        ""coordinates"": [
          14.783846798251037,
          41.13316810450852
        ]
      }
    }
  ]
}"	
