NarrativePlace_ID	Narrative_Toponym	Alternative_Toponym	Reality_Status	Is_Part_Of	Place_Category	Description	Notes	Fuzziness_Level
acqua_pia_antica_marcia	Acqua Pia Antica Marcia		imported		acquedotto			
acquedotto_claudio	Acquedotto Claudio		imported		acquedotto			
albano_laziale	Albano Laziale		imported		località	Luogo dei Castelli Romani		
aliciaro	Aliciaro		imported		ristorante			
aniene	Aniene		imported		fiume	Fiume a nord di Roma		
anzio	Anzio		imported		località	Luogo generico a sud di Roma	Comune laziale, in provincia di Roma	3
area_oltre_tevere	Area oltre il Tevere		transformed		località	Area paesaggistica vaga e analogica, delimitata dal Tevere e costruita per accumulo descrittivo (castelli, vigne, colli, monti, piane)		4
ardea	Ardea		imported		località			
ariccia	Ariccia		imported		località			
aventino	Aventino		imported		colle			
banca_commerciale_italiana	Banca Commerciale Italiana		imported		banca			
banca_ditalia	Banca d’Italia		imported		banca			
banco_di_santo_spirito	Banco di Santo Spirito		imported		banca			
barbiere	Barbiere		transformed		esercizio commerciale	Luogo generico: barbiere		
basilica_dei_frari	Basilica dei Frari		imported		basilica	basilica a Venezia		
benevento	Benevento		imported		città			
bivio_falcognana_casal_bruciato	Bivio tra Falcognana e Casal Bruciato		imported		bivio stradale			
bologna	Bologna		imported		località	Città		
borgo_pio	Borgo Pio		imported		via			
borgo_vecchio	Borgo Vecchio		imported		via			
bottaro	Bottaro		imported		ristorante			
bottega_ceccherelli	Bottega Ceccherelli		imagined		esercizio commerciale			
rive_del_brahmaputra	Brahmaputra		imported		fiume	Fiume indiano		
buco_a_santignazio	Buco a Sant'Ignazio		transformed		ristorante			
ca_francesi	Ca' Francesi		transformed		località			
calabria	Calabria		imported		regione	regione italiana		
camera_casello	Camera al Casello 20-25		transformed	casello_km_20_25	camera	camera da letto della Camilla Mattonari		
campo_de_fiori	Campo de' Fiori		imported		piazza			
campo_marzio	Campo Marzio		imported		cimitero			
campo_morto	Tenuta di Campo Morto		imported		località	tenuta storica / regione rurale, oggi corrispondente all'area di Campoverde, Aprilia		
campo_verano	Campo Verano		imported		stazione			
