Reference_ID	NarrativePlace_ID	Chapter_ID	LiteraryWork_ID	Source_Reference	Page_Count	Notes	Excerpt
ref_00001	collina_molisana	capitolo_I	quer_pasticciaccio_adelphi	A 11	11		[...] e con una o due macchioline d’olio sul bavero, quasi impercettibili però, quasi un ricordo della collina molisana.
ref_00002	san_martino_ai_monti	capitolo_I	quer_pasticciaccio_adelphi	A 14	14		Era, disse la signora, «il genetliaco di Remo»: e infatti Remo, all’anagrafe, era stato inscritto come Remo Eleuterio, e poi battezzato per tale a San Martino ai Monti, così da rammentare il natalizio.
ref_00003	collegio_romano	capitolo_I	quer_pasticciaccio_adelphi	A 14	14		L’invito, comme l’ata vota, gli era stato fatto per telefono due giorni avanti, con una chiamata «dall’esterno» al Collegio Romano, cioè a Santo Stefano del Cacco.
ref_00004	santo_stefano_del_cacco_celio_santo_stefano	capitolo_I	quer_pasticciaccio_adelphi	A 14	14		L’invito, comme l’ata vota, gli era stato fatto per telefono due giorni avanti, con una chiamata «dall’esterno» al Collegio Romano, cioè a Santo Stefano del Cacco.
ref_00005	barbiere	capitolo_I	quer_pasticciaccio_adelphi	A 14	14		Don Ciccio, dopo aver santificato la festa dal barbiere, portò una bottiglia d’uoglie alla signora.
ref_00006	vicenza	capitolo_I	quer_pasticciaccio_adelphi	A 16	16		suo marito stava bene, viaggiava tredici mesi all’anno, sempre in un gran da fare con quelli là di Vicenza.
ref_00007	palazzo_219	capitolo_I	quer_pasticciaccio_adelphi	A 16	16		Già in quer gran palazzo der ducentodicinnove nun ce staveno che signori grossi: quarche famija der generone: ma soprattutto signori novi de commercio, de quelli che un po’ d’anni avanti li chiamaveno ancora pescicani.
ref_00008	palazzo_219	capitolo_I	quer_pasticciaccio_adelphi	A 16	16		E il palazzo, poi, la gente der popolo lo chiamaveno er palazzo dell’oro.
ref_00009	scale	capitolo_I	quer_pasticciaccio_adelphi	A 16	16		Drento poi, c’ereno du scale, A e B, co sei piani e co dodici inquilini cadauna, due per piano.
ref_00010	scala_a	capitolo_I	quer_pasticciaccio_adelphi	A 16	16		Ma il trionfo più granne era su la scala A, piano terzo, dove che ce staveno de qua li Balducci ch’ereno signori co li fiocchi pure loro, e in faccia a li Balducci ce steva na signora, na contessa, che teneva nu sacco ’e solde pure essa, na vedova: la signora Menecacci
ref_00011	frascati	capitolo_I	quer_pasticciaccio_adelphi	A 17	17		un senso d’aria dei giorni sereni e lontani tra frascatano e tiburtino
ref_00012	tiburtino	capitolo_I	quer_pasticciaccio_adelphi	A 17	17		un senso d’aria dei giorni sereni e lontani tra frascatano e tiburtino
ref_00013	lazio	capitolo_I	quer_pasticciaccio_adelphi	A 20	20		Dal folto brulicare delle generazioni, dalle guardine delle questure, tra il Lazio e la Marsica, tra il Piceno e il Sannio, o fino alla sua collina molisana: duri monti, dure cervici, duro il diavolo!
ref_00014	marsica	capitolo_I	quer_pasticciaccio_adelphi	A 20	20		Dal folto brulicare delle generazioni, dalle guardine delle questure, tra il Lazio e la Marsica, tra il Piceno e il Sannio, o fino alla sua collina molisana: duri monti, dure cervici, duro il diavolo!
ref_00015	piceno	capitolo_I	quer_pasticciaccio_adelphi	A 20	20		Dal folto brulicare delle generazioni, dalle guardine delle questure, tra il Lazio e la Marsica, tra il Piceno e il Sannio, o fino alla sua collina molisana: duri monti, dure cervici, duro il diavolo!
ref_00016	sannio	capitolo_I	quer_pasticciaccio_adelphi	A 20	20		Dal folto brulicare delle generazioni, dalle guardine delle questure, tra il Lazio e la Marsica, tra il Piceno e il Sannio, o fino alla sua collina molisana: duri monti, dure cervici, duro il diavolo!
ref_00017	collina_molisana	capitolo_I	quer_pasticciaccio_adelphi	A 20	20		Dal folto brulicare delle generazioni, dalle guardine delle questure, tra il Lazio e la Marsica, tra il Piceno e il Sannio, o fino alla sua collina molisana: duri monti, dure cervici, duro il diavolo!
ref_00018	santagnese_in_agone	capitolo_I	quer_pasticciaccio_adelphi	A 17	17		[...] un fascino, un imperio tutto latino e sabellico, per cui gli andavano insieme i nomi antichi, d’antiche vergini guerriere e latine o di mogli non reluttanti già tolte a forza ne la sagra lupercale, con l’idea dei colli e delle vigne e degli scabri palazzi, e con le sagre e col Papa in carrozza, e coi bei moccoloni di Sant’Agnese in Agone e di Santa Maria in Porta Paradisi a la Candelora, a la benedizione dei ceri [...].
ref_00019	santa_maria_in_porta_paradisi	capitolo_I	quer_pasticciaccio_adelphi	A 17	17		[...] un fascino, un imperio tutto latino e sabellico, per cui gli andavano insieme i nomi antichi, d’antiche vergini guerriere e latine o di mogli non reluttanti già tolte a forza ne la sagra lupercale, con l’idea dei colli e delle vigne e degli scabri palazzi, e con le sagre e col Papa in carrozza, e coi bei moccoloni di Sant’Agnese in Agone e di Santa Maria in Porta Paradisi a la Candelora, a la benedizione dei ceri [...].
ref_00020	santi_quattro_coronati	capitolo_I	quer_pasticciaccio_adelphi	A 19	19		Tutto questo il dottor Ingravallo lo aveva in parte intuito, in parte integrato da qualche accenno del Balducci, o dai dolcissimi «momenti» della tristezza di lei: anche don Corpi, don Lorenzo, don Lorenzo Corpi, don Corpi Lorenzo dei Santi Quattro brillava spesso lui pure, nei ragionamenti della signora Liliana.
